あ	い	う	え	お
a	i	u	e	o
				
か	き	く	け	こ
ka	ki	ku	ke	ko
				
さ	し	す	せ	そ
sa	shi	su	se	so
				
た	ち	つ	て	と
ta	chi	tsu	te	to
				
な	に	ぬ	ね	の
na	ni	nu	ne	no
				
は	ひ	ふ	へ	ほ
ha	hi	fu	he	ho
				
ま	み	む	め	も
ma	mi	mu	me	mo
				
や		ゆ		よ
ya		yu		yo
				
ら	り	る	れ	ろ
ra	ri	ru	re	ro
				
わ	ゐ		ゑ	を
wa	i		e	wo
				
ん				
n				
				
が	ぎ	ぐ	げ	ご
ga	gi	gu	ge	go
				
ざ	じ	ず	ぜ	ぞ
za	ji	zu	ze	zo
				
だ	ぢ	づ	で	ど
da	ji	zu	de	do
				
ば	び	ぶ	べ	ぼ
ba	bi	bu	be	bo
				
ぱ	ぴ	ぷ	ぺ	ぽ
pa	pi	pu	pe	po
				
きゃ		きゅ		きょ
kya		kyu		kyo
				
しゃ		しゅ		しょ
sha		shu		sho
				
ちゃ		ちゅ		ちょ
cha		chu		cho
				
にゃ		にゅ		にょ
nya		nyu		nyo
				
ひゃ		ひゅ		ひょ
hya		hyu		hyo
				
みゃ		みゅ		みょ
mya		myu		myo
				
りゃ		りゅ		りょ
rya		ryu		ryo
				
ぎゃ		ぎゅ		ぎょ
gya		gyu		gyo
				
じゃ		じゅ		じょ
ja		ju		jo
				
ぢゃ		ぢゅ		ぢょ
ja		ju		jo
				
びゃ		びゅ		びょ
bya		byu		byo
				
ぴゃ		ぴゅ		ぴょ
pya		pyu		pyo
